trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1037,False,"{'a': 0.5, 'e': 0.005572006814919994}",20,14,11.479194872931082,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 0.005544216314992066}",20,13,13.150305275897034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.005516564420760773}",35,22,22.674861737900986,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.00548905044092732}",20,9,25.623887672435256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 0.00546167368764078}",20,7,21.616055113946928,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.5, 'e': 0.005434433476480893}",30,22,14.709881882889706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.5, 'e': 0.005407329126440961}",30,23,16.682520581797938,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.005380359959910818}",20,14,13.746042303393427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.5, 'e': 0.005353525302659904}",25,15,18.136395859137835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.0053268244838203865}",30,4,46.012185024119354,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.005300256835870404}",20,3,24.28137100905271,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.005273821694617373}",20,7,25.04443250148238,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.5, 'e': 0.0052475183991813855}",20,8,18.73309433285573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.5, 'e': 0.005221346291978687}",25,13,20.033699716089803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.5, 'e': 0.005195304718705233}",30,7,38.073454273227064,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.5, 'e': 0.005169393028320335}",20,12,16.54250655802753,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.00514361057303038}",20,9,24.135909633415064,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.5, 'e': 0.005117956708272652}",20,14,12.637575041889171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.5, 'e': 0.005092430792699192}",25,15,19.458229597591327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.5, 'e': 0.00506703218816078}",20,16,7.666833210787205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.5, 'e': 0.005041760259690981}",25,17,14.495972614736917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
